stockname,PE,MCap,AvgVol
SESHAPAPER,0,0,3041
SOLIDCO,0,0,0
SPECIAPP,-19.6,153040720,121651
RELSIND,0,0,0
SHBHAWPA,-0.20271187,104214128,238
RAMAPULP,6.990099,155320000,13047
VAPIPPR,5.1849313,17270576,268
SINTEX,5.866667,37170900992,715062
BLUBLND-B,13.288591,1223212288,0
DCM,52.620483,1518055680,9042
ZGAEKWAR,0,0,0
FORBESCO,-58.683952,22766446592,1637
HPCOTTON,7.886792,159258000,1857
UNITEDINT,0,0,93
JAMSHRI,110.5,154690272,815
KATRSPG,308.82352,59850000,508
KESORAMIND,12.389913,18147377152,159537
LAKSHMIMIL,0,0,62
VTL,0,0,12075
MALWACOTT,0,0,1685
MODERN,66.886795,1330892288,314
PENINLAND,0,0,100508
PASUSPG,-41.42012,130718976,211
PHOENIXLTD,0,0,1478
MARATHON,8.575472,6459149312,11012
RAJABAH,0,0,5
RELCHEMQ,106.6129,264522272,2003
RUBYMILLS,0,0,5183
SHREERAM,-9.919724,2490693888,3548
SIMPLXREA,-11.114207,238712128,329
SWANENERGY,0,0,314332
VICTMILL,1.9068719,263413312,52
ZSVTRADI,0,0,0
KSHITIJ,0,0,0
SALSAIN,0,0,0
DHANLEELA,0,0,506
INDSOYA,0,0,0
VEERENRGY,9.269426,156135840,12011
SW1,0,0,0
KKFIN,0,0,0
UNIJOLL,0,0,0
ELCIDIN,0,0,0
HEALINV,0,0,0
SAHARA,-5.0507984,1498139904,457
BANSWRAS,10.300868,2811110400,12151
MODWOOL,-1.4229323,6866512,8
MODIPON,2.0701106,131914552,100
SHRIDINE,18.645485,588441280,2351
SRF,0,0,22748
SIYSIL,0,0,1915
SWADPOL,-1.1752486,83850000,66
BIRLATR,-25.741936,22623540,215
FOMEHOT,23.395445,1808000000,317
SHRAJSYNQ,-7.183432,150563920,1799
SHRMFGC,0,0,0
HINDSYNTEX,0,0,1246
ZSATYASL,0,0,0
BBL,62.8044,4518422016,5058
ELPROINTL,0,0,11045
EMCO,-4.8948946,2202974464,88838
GEE,20.592783,943854720,3117
HIRECT,0,0,7653
NIPPOBATRY,0,0,2553
ZENSARTECH,0,0,12983
JYOTI,-0.9901207,772517888,1529
JSLINDL,0,0,14
KAYCEEI,-53.025883,172955744,5
INDOKEM,-56.06666,206021456,2415
PANAENERG,13.837848,2287500032,6260
NELCO,-215.63246,2061642368,64541
PERMAGN,18.148148,168529616,895
HIGHENE,-5.8884835,405166016,2803
STDBAT,0,0,450
UNIVCABLES,0,0,16118
WSIND,-0.49334556,227252848,6023
DLTNCBL,17.339449,163296000,1042
DELTRON,0,0,0
LAKSELEC,12.775872,1098480128,4997
KHAITANELE,0,0,3293
TUMUSEL,0,0,0
DELTAMAGNT,0,0,360
CONFINT,0,0,778
RAVINDT,0,0,944
GDTRAGN,0,0,0
EMPOWER,0,0,196223
ZMULTIPU,0,0,0
REMISIN,0,0,0
RIDHISYN,0,0,0
ZARDIINV,0,0,0
SOFTBPO,0,0,0
NYSSACORP,0,0,4628
ZVINADTR,0,0,0
ELFTRDG,0,0,0
ARVRTRI,0,0,0
KRISHNA,0,0,0
GANHOLD,0,0,0
SJCORP,0,0,21
UNIABEXAL,-24.050632,750499968,375
SARDAEN,42.588234,6507384320,46985
ANILSPL,-0.20011169,54979372,2708
BWLLTD,0,0,0
BGWTATO,25.845589,202511808,1013
CHASBRT,0,0,0
UNIVPRIM,12.681818,22229158,10
GALADA,1.7317073,74449408,31907
GONTER,-0.61862916,156534400,1924
IBRIGST,0,0,0
INDIANHUME,0,0,8316
INLCM,-17.313128,27562500,3
INVPRECQ,31.637167,893750016,8329
INFORTEC,10.964912,104227504,106
KAIRA,47.289013,747158272,8
ORIENTABRA,0,0,16224
RATHIST,-0.10969739,99872840,6223
SSDUNC,-3.84,266112000,551
SANDUMA,64.60308,4770937344,5577
STOVACQ,19.3561,4235548672,687
STEWARTQ,-0.24252623,73500000,94
TATAYODOGA,0,0,7495
TINPLATE,12.275321,9006682112,294086
TUBEINVEST,10.695471,1.11069E+11,40723
ZWELCAST,-54.31779,201146336,45
VIDIRMT,0,0,0
AUTOAXLES,33.60713,11684562944,4805
ATLASCYCLE,0,0,16806
ACGL,23.770395,3929068032,6535
SETCO,25.228573,5898307584,156915
SCOOTER,56.95313,3112185088,3664
TALBROAUTO,0,0,11810
ZFSTEERING,0,0,4102
SMLISUZU,0,0,19450
TIL,-5.498412,2396692480,7585
EICHERMOT,58.06874,6.26939E+11,3508
JAINEX,0,0,0
ALFREDHE,29.980719,359871616,97
CIMMCO,-13.091993,1548412160,12394
VELJAN,14.446537,1811812480,630
DYNAMATECH,0,0,846
GGDANDE,-6.0435777,250925264,754
GMM,26.079216,5245490176,10812
KIRLPNU,30.914486,11376196608,1564
TULIVE,14.028747,561301952,1081
KULKPOWT,-1.3396676,95880000,671
LXMIATO,48.416664,177320912,255
LYNMC,0,0,0
MANUGRAPH,0,0,9894
MIRCH,0,0,0
MONOT,393.52942,23519430656,169339
NESCO,0,0,670
INTEGRAEN,0,0,23520
REVATHI,0,0,446
TEXINFRA,0,0,29297
WENDT,39.977833,4040000000,193
PSITINFRA,0,0,3674
SINDUVA,0,0,0
AXONVL,0,0,292
RESPONIND,118.28572,21734588416,18147
SHYMINV,0,0,2322
ZHEMHOLD,0,0,0
MAHACORP,0,0,1618
DOLAT,15.058823,450560000,30841
SHYAMHO,0,0,0
PRISMINFO,-1.7443309,174597504,10
WESTLIFE,0,0,12295
ZEEL,0,0,85831
IMCFINA,0,0,0
GOLDCORP,0,0,638
WWTECHHOL,0,0,0
ZKOVALIN,0,0,0
SVPGLOB,0,0,7074
MULTIIN,0,0,0
SKYLMILAR,-3.6627908,126706232,3361
REMIPRO,0,0,0
ABCBEARS,36.38186,1991797504,15766
BIMETAL,32.64505,1463444992,1923
TAPARIA,0,0,0
BHARATGEAR,0,0,17278
BRADYM,75.666664,153224992,59
LATIMMETAL,0,0,40
ELECON,17.360321,6634202624,70499
DECANBRG,-14.583334,15343545,0
GRAUWEIL,18.998922,8002721792,257809
GAJRA,-1.6954023,23586430,4119
GUJAUTO,10.253948,420437504,6827
GABRIEL,22.756777,17122364416,118114
HERCULES,37.433735,4971200000,8871
HINDEVER,-2.4300325,98521360,344
IFBIND,57.474163,18024785920,4620
SINGER,25.108475,2113704960,6867
INTLCOMBQ,-79.516914,786880192,1954
FMGOETZE,0,0,10252
JOSTS,-26.719057,519961984,85
FAGBEARING,33.74278,66988490752,1760
MPCOSEMB,0,0,1
RANEHOLDIN,0,0,2865
ROLCOEN,0,0,0
REILELEC,0,0,0
SNL,12.556054,707861824,3010
JAIPAN,126.44444,69416176,2162
MANCREDIT,0,0,4244
TRF,-8.790494,3195301888,16156
WPIL,352.91263,3550333696,5056
KENNAMET,50.000004,14702317568,1454
HINDHARD,26.273458,147000000,367
TRITONV,17.115166,1193230080,804
HINDUJAFO,-0.85570467,7391863808,9605
SUDAI,-0.9626605,60784516,897
JRIIIL,0,0,164348
PRAKASH,0,0,196745
BHRKALM,-0.12160414,25822786,12561
ARSHIYA,-0.81217676,5395984384,92028
GRINDWELL,0,0,33988
LAKPRE,0,0,1374
ANUPMAL,0,0,0
STANROS,0,0,2929
PRECTRA,0,0,0
GENESYS,96.59722,2117623680,4552
ALNATRD,0,0,0
PANKAJPIYUS,0,0,2562
PARNAXLAB,0,0,6392
INDIACO,-4.317073,79770008,53
INTELLCAP,7457.1426,1519020032,25580
VYAPAR,-2.3512475,266927504,1870
VIVIDHA,336.66666,497325984,1341838
ASISL,0,0,135
ISHWATR,0,0,0
TERRAFORM,0,0,0
APIS,0,0,0
ZKHATAUE,0,0,0
SRIOMTR,-261.70212,561987008,196
KANANIIND,147.89474,2780045312,76265
GLXYENT,211.23595,294218112,6884
ZSARVAMA,0,0,0
ASL,0,0,58884
VIKSHEN,0,0,0
BLISSGVS,19.0625,15729917952,104867
INEOSSTYRO,0,0,2845
ALEMBICLTD,4.4278545,10374193152,70084
AMNPLST,16.310976,1471784960,10624
ANUHPHR,26.305826,6788923392,16819
MODISNME,14.388061,1564089984,19191
ASSAPET,0,0,0
BAYERCROP,0,0,4273
SASHWAT,0,0,0
BORAX,4.7619047,144530240,1473
CHEMOPH,-1.583851,22950000,192
CLNINDIA,0,0,3307
COROMANDEL,0,0,114785
DEEPAKNI,20.723572,14088291328,85636
DHARAMSI,12.828947,1450844800,36687
DIL,-158.52527,1795205248,593
GUJCARB,-0.46122447,13989400,215
GOCLCORP,0,0,10395
JAYCH,1.3484162,262178896,13576
JLMORI,51.840427,1445703296,117
KANORICHEM,0,0,25742
KELENRG,12.934945,501850016,366
KEMP,82.41379,256703680,1
NITTAGELA,17.989786,1759087232,5061
MPAGI,0,0,0
ORIENTCQ,14.30101,7082171904,7683
PHILIPCARB,0,0,133295
AMAL,10.126582,281000000,5447
POLYCHEM,44.688396,188325376,65
SUNASIAN,0,0,23540
PUNJABCHEM,0,0,6998
SADHNANIQ,-4.553073,224960304,2089
SUDARSCHEM,0,0,143596
ULTRAMAR,19.107601,5223470592,15874
TRANSPEK,12.316501,2377568000,2939
UNICHEMLAB,22.662174,24443869184,17138
ZANDUREALT,0,0,1482
MYSORPETRO,0,0,2069
ALKYLAMINE,0,0,2477
TUTIALKA,0.3321017,111708296,6886
ASTRAZEN,462.50003,24281249792,2400
PACL,-2.1264367,303926880,34905
TANFACIND,0,0,7641
GUJPETR,-1.8973998,112817312,67
MASCH,0,0,0
SHREEJAL,74.5,111750000,819
GUJTHEM,16.198082,736605120,6950
CHEMFALKAL,0,0,44378
JAYSYN,11.696306,742969344,3680
MAKERSL,14.434967,332879520,3847
CONTCHM,4.3568463,4195800,10
JBCHEPHARM,0,0,52277
ADVPETR-B,41.81818,24840000,0
BBREALTY,0,0,439
RAJSPTR,-347.49997,22503126,145
BLUECHIPT,7.6860185,185227008,1581
NOBLEXP,-26.151514,165938512,10182
JAGAJITIND,0,0,1952
KESARENT,0,0,9224
TI,0,0,71522
OUDHSUG,0,0,80761
APTEAML,0,0,38
RAVALSUGAR,0,0,48
SAKHTISUG,0,0,195176
WALCHANNAG,0,0,84595
KHODAY,0,0,0
IFBAGRO,0,0,1031
DHARSUGAR,0,0,38230
THIRUSUGAR,0,0,12239
UBHOLDINGS,0,0,108325
KFBL,22.18254,419250016,3568
CAPRO,0,0,0
GMBREW,16.272425,8952338432,20192
RANASUG,9.899082,1656998656,1004692
PICCASUG,784.00006,182315280,4657
GIRDSGA,0,0,566
RIGASUG,-13.647344,351526048,22496
SDBL,0,0,22847
CJGEL,65.22727,41442512,927
MOUNTSHIQ,-0.8307128,95840200,898
AMRITCORP,17.315315,1852748288,474
ASALCBR,19.50582,2090859520,47066
CORAGRO,0,0,0
FOODSIN,221.94518,1233456512,1352
IVP,11.942517,1243870848,11697
KLRF,0,0,4032
OLYOI,1.0199336,87617800,0
MLKFOOD,92.31579,857081536,4422
POLSON,10.026224,939997632,14
RASOI,56.470154,2211463936,760
RATNAMAGRO,0,0,439
SAGRSOY-B,0,0,0
WIPRO,13.300111,1.17981E+12,373306
ORIBEVER,15.237781,249329024,1691
DHANUKA,31.564945,34120802304,1644
TTKHEALTH,0,0,335
SREERAYA,6.584967,1669709568,228587
LIMECHM,0.99497485,32573770,615
KANPRPLA,7.762186,1254775680,10568
TAINWALCHM,0,0,3529
JAGSNPHARM,0,0,13227
KHAICHEM,67.76119,1320992896,44893
NOL,0,0,601
GILLETTE,61.40062,1.46705E+11,489
WIREFABR,21.803455,308528416,703
ANSALHSG,11.359447,1463859968,13646
COMPUPN,-43.5,26101132,945
MCCHRLS-B,15.952097,5158036992,7045
ADDIND,3.446502,72337216,732
PIONRINV,-30.000002,254545840,3755
ASHNOOR,14.81982,176768416,749
UNITECH,-1.8550725,16733631488,13441798
VIPIND,24.995087,17975521280,82278
DHRUVES,153.28947,22412876,290
WINSOMEDJ,0,0,77211
SCHABLON,-0.78354496,44829332,491
LKPFIN,11.512059,756885888,5126
EASTBUILD,0,0,0
ARUMUGA,0,0,0
MNPLFIN,0,0,0
BAJAJST,-8.065458,324300000,2463
KIDUJA,0,0,0
KEYCORP,0,0,146
SHIKHARLETR,0,0,0
GUJHOTE,19.01082,465864960,312
RAJATH,0,0,0
RASRESOR,33.214283,166133616,343
PARMCOS-B,29.556074,184247248,450
JINDHOT,13.868613,228000000,956
SERIND,-4.7214074,15932399,7
JPTRLES,0,0,0
SIMMOND,20.605701,971600000,12460
BNALTD,5.4328594,533044992,2475
LEDOTEA,-12.258287,76635624,73
HAWKINCOOK,0,0,1834
WARRENTEA,0,0,1881
COCHMAL,0,0,0
BESTEAST,724.4318,1074187520,10468
NEAGI,6.8073683,608560832,32
ISTLTD,5.5491138,3907480320,345
COSMOFILMS,7.321212,7045092352,25396
DIAMANT,0,0,2638
NEWMKTADV,0,0,0
APOLLOHOSP,54.783524,1.81322E+11,12074
NITINALOY,10.27027,80028000,219
SMIFS,21.743422,184584240,4171
EVERESTIND,0,0,3299
GREYCELLS,44.15493,247907024,509
MSRINDIA,0,0,25550
JOYREALTY,0,0,0
AYMSYNTEX,0,0,14931
BLCISER,0,0,4
PANCARBON,0,0,4925
FINKURVE,0,0,3
HBLEAS,-4.3333335,18695964,814
SHRICON,13.558824,17149200,611
STRLGUA,0,0,0
FRONTCAP,0,0,0
NAVNETEDUL,0,0,16825
KEDIACN,0,0,0
SATRAPROP,-4.298246,873954240,6035
STEERINTER,1.2172285,529235872,174100
TRANOCE,0,0,0
AUSOMENT,60.142857,286776768,494
THAKRAL,-3.2372882,112070208,56
RUCHINFRA,0,0,3475
VJTFEDU,0,0,4645
VOLLF,0,0,0
NETLINK,6.868132,14835000,481
ZLEENCON,0,0,0
LANCORHOL,9.9630995,1093500032,26954
INDINFO,94.99999,190653600,721084
BANASFN,0,0,39342
VISAKAIND,0,0,30045
INFOMEDIA,-6.7702703,251472960,16245
HATHWAYB,0,0,1219
PRESSMN,0,0,29497
GUFICBIO,41.31579,3035987456,18291
PHOTON,-28.555555,12083420,0
OSWALEA,0,0,0
GOVINDRU,331.66666,434715488,33745
GRPLTD,0,0,270
INDAG,15.57095,4631812608,14294
MMRUBBR-B,18.148148,61011860,447
PTL,17.994186,8194136576,6298
TVSSRICHAK,11.76727,21912946688,1389
BENARAS,17.775337,1472899968,163
BHAGWOX,0,0,96
BOMOXY-B1,0,0,0
CRAVATEX,-6.557404,519545376,581
BERGEPAINT,62.06734,2.56024E+11,79443
CAPRIHANS,0,0,13968
GRAPHITE,23.634918,14545742848,10596
ITDCEM,34.55517,21574719488,40794
EMPIND,31.271534,9584100352,431
GRAVISSHO,-65.7353,1576102016,657
GAMMONIND,-0.23820499,6288841216,306827
GARWALLROP,18.312124,11336022016,6163
GARWAMAR,-64.64647,73807104,2670
GOACARBON,0,0,38022
HARDCAS,-2.0813098,203842208,781
HINDDORROL,0,0,45251
HEG,-53.03371,7544278016,6807
HINDCOMPOS,0,0,777
ZHINDHSG,0,0,0
HIL,0,0,4189
INDIANCARD,0,0,3163
